name_cap_2,num_rom_ca,Shape_Leng,Shape_Area
COWALELLUP-NE,2629-IV-NE,61423.51460000000,233726694.25700000000
COWALELLUP-SE,2629-IV-SE,61473.21920000000,234072512.42899999000
PALLINUP-NE,2629-III-NE,61523.23170000000,234420472.95100001000
PALLINUP-SE,2629-III-SE,61573.55380000000,234770587.50799999000
HAUL OFF ROCK-NE,2628-IV-NE,61624.18780000000,235122871.95300001000
HAUL OFF ROCK-SE,2628-IV-SE,61675.13500000000,235477335.47700000000
PORT HEDLAND-NW,2657-III-NW,57505.16300000000,206464887.80000001000
PORT HEDLAND-SW,2657-III-SW,57529.21780000000,206632248.30500001000
MOUNT BEASLEY-SW,2647-III-SW,58647.37600000000,214411798.51699999000
GNAWEEDA-NW,2644-IV-NW,58943.93280000000,216475082.85900000000
GABANINTHA-SW,2644-III-SW,59046.74660000000,217190406.76699999000
PAYNESVILLE-NW,2641-IV-NW,59367.47340000000,219421853.09299999000
WARRALAKIN-NW,2635-IV-NW,60318.45620000000,226038285.63600001000
WESTONIA-SW,2635-III-SW,60447.74500000000,226937808.34400001000
TANDAGIN-SW,2634-IV-SW,60535.29140000000,227546909.63299999000
WOGARL-NW,2634-III-NW,60579.47550000000,227854319.22499999000
WOGARL-SW,2634-III-SW,60623.93560000000,228163649.08000001000
LAKE JOY-NW,2630-IV-NW,61227.73940000000,232364594.81700000000
COWALELLUP-NW,2629-IV-NW,61423.51480000000,233726695.93700001000
COWALELLUP-SW,2629-IV-SW,61473.21930000000,234072513.27000001000
PALLINUP-NW,2629-III-NW,61523.23160000000,234420472.10900000000
PALLINUP-SW,2629-III-SW,61573.55360000000,234770585.82100001000
HAUL OFF ROCK-NW,2628-IV-NW,61624.18760000000,235122870.26400000000
HAUL OFF ROCK-SW,2628-IV-SW,61675.13480000000,235477333.78500000000
ABBOTTS-NE,2545-II-NE,58876.50300000000,216005942.33399999000
MEEKATHARRA-NE,2544-I-NE,58943.93290000000,216475083.63699999000
LAKE CAMPION-NE,2535-I-NE,60318.45640000000,226038287.25999999000
MERREDIN-SE,2535-II-SE,60447.74520000000,226937809.97499999000
WADDERIN-SE,2534-II-SE,60623.93530000000,228163646.74399999000
NAREMBEEN-NE,2533-I-NE,60668.67230000000,228474902.99700001000
LAKE GRACE-NE,2531-I-NE,61036.74700000000,231035771.26800001000
KURINGUP-NE,2530-I-NE,61227.73920000000,232364593.14700001000
KURINGUP-SE,2530-I-SE,61276.23020000000,232701967.73600000000
ONGERUP-NE,2530-II-NE,61325.02200000000,233041435.13000000000
ONGERUP-SE,2530-II-SE,61374.11620000000,233383006.46300000000
BORDEN-NE,2529-I-NE,61423.51460000000,233726694.25799999000
BORDEN-SE,2529-I-SE,61473.21930000000,234072513.27000001000
ELLEN PEAK-NE,2529-II-NE,61523.23180000000,234420473.79400000000
ELLEN PEAK-SE,2529-II-SE,61573.55380000000,234770587.50799999000
GREEN RANGE-NE,2528-I-NE,61624.18780000000,235122871.95300001000
GREEN RANGE-SE,2528-I-SE,61675.13500000000,235477335.47700000000
MOUNT MANYPEAKS-NE,2528-II-NE,61726.39770000000,235833993.93099999000
MOUNT MANYPEAKS-SE,2528-II-SE,61777.97760000000,236192859.28999999000
NANNINE-SW,2544-II-SW,59046.74660000000,217190406.76699999000
CULLCULLI-NW,2543-I-NW,59081.46690000000,217431972.15000001000
CULLCULLI-SW,2543-I-SW,59116.41370000000,217675113.40000001000
BONNIE ROCK-NW,2536-I-NW,60149.80060000000,224864869.89500001000
CALCALING-SW,2536-II-SW,60275.89540000000,225742170.22499999000
MERREDIN-SW,2535-II-SW,60447.74500000000,226937808.34400001000
NORPA-NW,2534-I-NW,60491.38180000000,227241409.99000001000
NAREMBEEN-NW,2533-I-NW,60668.67260000000,228474905.33500001000
NAREMBEEN-SW,2533-I-SW,60713.68880000000,228788104.11500001000
BENDERING-SW,2533-II-SW,60804.56400000000,229420365.17199999000
JILAKIN-NW,2532-I-NW,60850.42660000000,229739452.75000000000
LAKE GRACE-NW,2531-I-NW,61036.74680000000,231035769.60800001000
KURINGUP-NW,2530-I-NW,61227.73940000000,232364594.81700000000
KURINGUP-SW,2530-I-SW,61276.23040000000,232701969.40799999000
ONGERUP-NW,2530-II-NW,61325.02220000000,233041436.80500001000
ONGERUP-SW,2530-II-SW,61374.11630000000,233383007.30100000000
BORDEN-NW,2529-I-NW,61423.51460000000,233726694.25700000000
BORDEN-SW,2529-I-SW,61473.21920000000,234072512.42899999000
ELLEN PEAK-NW,2529-II-NW,61523.23160000000,234420472.10900000000
ELLEN PEAK-SW,2529-II-SW,61573.55360000000,234770585.82100001000
GREEN RANGE-NW,2528-I-NW,61624.18760000000,235122870.26400000000
GREEN RANGE-SW,2528-I-SW,61675.13480000000,235477333.78500000000
MOUNT MANYPEAKS-NW,2528-II-NW,61726.39770000000,235833993.93099999000
MOUNT MANYPEAKS-SW,2528-II-SW,61777.97780000000,236192860.98800001000
WIALKI-SE,2537-III-SE,60108.29260000000,224576079.08199999000
MUKINBUDIN-SE,2536-III-SE,60275.89560000000,225742171.84700000000
NUNGARIN-SE,2535-IV-SE,60361.28390000000,226336258.22900000000
NUKARNI-NE,2535-III-NE,60404.37970000000,226636095.88699999000
NUKARNI-SE,2535-III-SE,60447.74510000000,226937809.15900001000
NANGEENAN-NE,2534-IV-NE,60491.38180000000,227241409.99000001000
NANGEENAN-SE,2534-IV-SE,60535.29140000000,227546909.63299999000
BRUCE ROCK-NE,2534-III-NE,60579.47540000000,227854318.40599999000
BRUCE ROCK-SE,2534-III-SE,60623.93520000000,228163646.04899999000
KULIN-SE,2532-IV-SE,60896.57460000000,230060526.25200000000
KUKERIN-SE,2531-IV-SE,61084.05260000000,231364898.20400000000
NYABING-NE,2530-IV-NE,61227.73920000000,232364593.14700001000
NYABING-SE,2530-IV-SE,61276.23020000000,232701967.73600000000
